דירה,בניין,קומה,חדרים,שטח,מחיר,"מחיר למ""ר",Quality Score,Price Score,Value Score,דירוג,הערות
5,11,1,3,82.34,1181922,14354.17,73.7,56.4,69.4,71,במחיר שוק; סטייה -1.6%
14,2,4,3,80.0,1149396,14367.45,71.9,55.7,69.3,72,במחיר שוק; סטייה -1.5%
19,7,5,5.5,141.28,2031747,14381.0,74.7,63.1,69.3,73,במחיר שוק; סטייה -1.4%
4,8,1,5,125.85,1844366,14655.27,76.3,63.3,69.2,74,במחיר שוק; סטייה +0.5%
7,13,2,5,125.85,1845726,14666.08,77.4,62.3,69.2,75,במחיר שוק; סטייה +0.6%
15,14,4,5.5,142.42,2044816,14357.65,70.8,64.6,69.2,76,במחיר שוק; סטייה -1.6%
24,14,5,3,83.9,1192094,14208.51,64.4,64.6,69.2,77,במחיר שוק; סטייה -2.6%; קיימת חלופה טובה יותר באותו מחיר
11,4,3,3,82.34,1193498,14494.75,76.8,48.5,69.1,78,במחיר שוק; סטייה -0.6%
4,13,1,5,125.85,1844799,14658.71,76.5,63.0,69.1,79,במחיר שוק; סטייה +0.5%
5,2,1,3,80.0,1139502,14243.77,68.5,62.6,69.0,80,במחיר שוק; סטייה -2.3%
17,3,5,3,82.34,1189343,14444.29,73.7,51.3,69.0,81,במחיר שוק; סטייה -1.0%
8,6,2,3,82.34,1188007,14428.07,76.9,52.2,69.0,82,במחיר שוק; סטייה -1.1%
22,7,5,3,83.9,1193155,14221.16,64.4,63.9,68.9,83,במחיר שוק; סטייה -2.5%; קיימת חלופה טובה יותר באותו מחיר
10,8,3,5,125.85,1855187,14741.26,78.9,55.1,68.8,84,במחיר שוק; סטייה +1.1%
13,8,4,5,125.85,1856362,14750.59,79.8,54.2,68.8,85,במחיר שוק; סטייה +1.1%
33,14,7,3,82.83,1172270,14152.72,60.2,67.7,68.8,86,במחיר שוק; סטייה -3.0%; קיימת חלופה טובה יותר באותו מחיר
8,2,2,3,80.0,1142767,14284.59,70.1,60.3,68.7,87,במחיר שוק; סטייה -2.1%
14,3,4,3,82.34,1189244,14443.09,72.8,51.4,68.7,88,במחיר שוק; סטייה -1.0%
9,8,3,5,125.84,1855937,14748.39,79.1,54.4,68.6,89,במחיר שוק; סטייה +1.1%
18,7,5,5.5,144.26,2067394,14331.03,72.6,66.4,68.5,90,במחיר שוק; סטייה -1.7%; קיימת חלופה טובה יותר באותו מחיר
40,7,9,5,125.03,1823384,14583.57,67.1,70.2,68.5,91,במחיר שוק; סטייה -0.0%; קיימת חלופה טובה יותר באותו מחיר
8,10,2,3,82.34,1174304,14261.65,69.3,61.6,68.5,92,במחיר שוק; סטייה -2.2%; קיימת חלופה טובה יותר באותו מחיר
5,10,1,3,82.34,1173463,14251.43,68.5,62.2,68.4,93,במחיר שוק; סטייה -2.3%; קיימת חלופה טובה יותר באותו מחיר
8,13,2,3,80.0,1131637,14145.46,64.8,68.1,68.4,94,במחיר שוק; סטייה -3.0%; קיימת חלופה טובה יותר באותו מחיר
5,5,1,3,82.34,1185830,14401.63,73.5,53.7,68.3,95,במחיר שוק; סטייה -1.3%
17,8,5,3,80.0,1143114,14288.92,68.0,60.1,68.3,96,במחיר שוק; סטייה -2.0%
16,7,4,3,82.83,1174476,14179.36,60.0,66.2,68.2,97,במחיר שוק; סטייה -2.8%; קיימת חלופה טובה יותר באותו מחיר
12,8,4,5,125.84,1858473,14768.54,80.0,52.4,68.2,98,במחיר שוק; סטייה +1.3%
5,13,1,3,80.0,1131241,14140.51,64.0,68.4,68.2,99,במחיר שוק; סטייה -3.0%; קיימת חלופה טובה יותר באותו מחיר
6,13,2,5,125.84,1845920,14668.79,75.0,62.0,68.2,100,במחיר שוק; סטייה +0.6%
8,11,2,3,82.34,1188403,14432.88,74.5,52.0,68.1,101,במחיר שוק; סטייה -1.0%
21,14,5,5.5,139.78,2023005,14472.78,75.2,57.0,68.1,102,במחיר שוק; סטייה -0.8%
12,2,4,5,125.84,1859153,14773.94,79.8,51.9,68.0,103,במחיר שוק; סטייה +1.3%
14,8,4,3,80.0,1140343,14254.29,65.2,62.0,68.0,104,במחיר שוק; סטייה -2.3%; קיימת חלופה טובה יותר באותו מחיר
29,14,6,3,83.9,1198110,14280.21,65.0,60.6,68.0,105,במחיר שוק; סטייה -2.1%; קיימת חלופה טובה יותר באותו מחיר
8,5,2,3,82.34,1188848,14438.28,74.4,51.7,67.9,106,במחיר שוק; סטייה -1.0%
27,7,6,3,83.9,1198934,14290.04,65.0,60.0,67.8,107,במחיר שוק; סטייה -2.0%; קיימת חלופה טובה יותר באותו מחיר
16,8,5,5,125.85,1859331,14774.18,82.6,51.9,67.8,108,במחיר שוק; סטייה +1.3%
8,8,2,3,80.0,1131587,14144.84,62.6,68.2,67.7,109,במחיר שוק; סטייה -3.0%; קיימת חלופה טובה יותר באותו מחיר
15,8,5,5,125.84,1859586,14777.38,82.8,51.6,67.7,110,במחיר שוק; סטייה +1.3%
15,2,5,5,125.84,1860018,14780.82,82.6,51.3,67.6,111,במחיר שוק; סטייה +1.3%
8,4,2,3,82.34,1192113,14477.93,75.7,49.4,67.6,112,במחיר שוק; סטייה -0.7%
24,7,6,5.5,141.28,2043038,14460.91,75.3,57.8,67.6,113,במחיר שוק; סטייה -0.8%
38,14,8,3,82.83,1178221,14224.57,60.8,63.7,67.6,114,במחיר שוק; סטייה -2.5%; קיימת חלופה טובה יותר באותו מחיר
5,8,1,3,80.0,1131587,14144.84,61.8,68.2,67.4,115,במחיר שוק; סטייה -3.0%; קיימת חלופה טובה יותר באותו מחיר
5,4,1,3,82.34,1191866,14474.93,74.7,49.6,67.3,116,במחיר שוק; סטייה -0.8%
3,8,1,5,125.84,1852289,14719.4,77.3,57.1,67.3,117,במחיר שוק; סטייה +0.9%
20,14,5,5.5,142.42,2049427,14390.02,70.5,62.5,67.2,118,במחיר שוק; סטייה -1.3%; קיימת חלופה טובה יותר באותו מחיר
9,2,3,5,125.84,1862492,14800.48,79.8,49.4,67.1,119,במחיר שוק; סטייה +1.5%
11,3,3,3,82.34,1189244,14443.09,71.9,51.4,67.1,120,במחיר שוק; סטייה -1.0%; קיימת חלופה טובה יותר באותו מחיר
21,7,5,3,82.83,1180289,14249.54,60.6,62.3,67.0,121,במחיר שוק; סטייה -2.3%; קיימת חלופה טובה יותר באותו מחיר
3,13,1,5,125.84,1844992,14661.41,74.1,62.7,67.0,122,במחיר שוק; סטייה +0.5%; קיימת חלופה טובה יותר באותו מחיר
42,14,9,4,113.65,1621220,14265.02,66.3,63.3,67.0,123,במחיר שוק; סטייה -2.2%; קיימת חלופה טובה יותר באותו מחיר
23,7,6,5.5,144.26,2078565,14408.46,73.3,61.3,66.9,124,במחיר שוק; סטייה -1.2%; קיימת חלופה טובה יותר באותו מחיר
7,8,2,5,125.85,1855064,14740.28,78.0,55.1,66.9,125,במחיר שוק; סטייה +1.1%
6,8,2,5,125.84,1855752,14746.92,78.2,54.5,66.7,126,במחיר שוק; סטייה +1.1%
7,1,3,5,129.31,1907826,14753.89,80.4,50.8,66.6,127,במחיר שוק; סטייה +1.2%
34,14,7,3,83.9,1205035,14362.75,65.7,55.9,66.5,128,במחיר שוק; סטייה -1.5%; קיימת חלופה טובה יותר באותו מחיר
43,14,9,3,82.83,1184171,14296.4,61.5,59.6,66.4,129,במחיר שוק; סטייה -2.0%; קיימת חלופה טובה יותר באותו מחיר
29,7,7,5.5,141.28,2051947,14523.97,75.9,53.6,66.3,130,במחיר שוק; סטייה -0.4%
32,7,7,3,83.9,1206071,14375.1,65.7,55.2,66.3,131,במחיר שוק; סטייה -1.4%; קיימת חלופה טובה יותר באותו מחיר
7,9,3,4,116.7,1697481,14545.68,79.6,44.0,66.3,132,במחיר שוק; סטייה -0.3%
26,14,6,5.5,139.78,2034796,14557.13,75.9,51.4,66.3,133,במחיר שוק; סטייה -0.2%
8,12,4,4,113.97,1659351,14559.54,80.1,43.2,66.2,134,במחיר שוק; סטייה -0.2%
3,1,1,5,129.31,1900900,14700.33,78.3,56.0,66.1,135,במחיר שוק; סטייה +0.8%
6,2,2,5,125.84,1858287,14767.06,78.0,52.6,66.0,136,במחיר שוק; סטייה +1.2%
30,14,7,5.5,142.42,2058479,14453.58,71.1,58.3,65.9,137,במחיר שוק; סטייה -0.9%; קיימת חלופה טובה יותר באותו מחיר
5,1,2,5,129.31,1903497,14720.42,79.4,54.0,65.8,138,במחיר שוק; סטייה +0.9%
15,5,5,5,125.93,1868235,14835.5,80.4,43.0,65.8,139,במחיר שוק; סטייה +1.7%
26,7,6,3,82.83,1186099,14319.68,61.2,58.3,65.8,140,במחיר שוק; סטייה -1.8%; קיימת חלופה טובה יותר באותו מחיר
6,12,3,4,113.97,1659041,14556.82,79.0,43.4,65.8,141,במחיר שוק; סטייה -0.2%
9,1,4,5,129.31,1913824,14800.28,82.2,46.4,65.7,142,במחיר שוק; סטייה +1.5%
18,5,6,5,125.93,1869843,14848.27,81.3,41.8,65.7,143,במחיר שוק; סטייה +1.8%
50,7,11,5,125.03,1833498,14664.46,68.4,62.4,65.6,144,במחיר שוק; סטייה +0.6%; קיימת חלופה טובה יותר באותו מחיר
9,5,3,5,125.93,1866936,14825.19,78.6,44.0,65.5,145,במחיר שוק; סטייה +1.6%
12,5,4,5,125.93,1868173,14835.01,79.5,43.1,65.5,146,במחיר שוק; סטייה +1.7%
15,6,5,5,125.93,1866504,14821.76,78.2,44.3,65.5,147,במחיר שוק; סטייה +1.6%
18,6,6,5,125.93,1867555,14830.1,79.0,43.5,65.5,148,במחיר שוק; סטייה +1.7%
8,3,2,3,82.34,1188057,14428.67,70.1,52.2,65.4,149,במחיר שוק; סטייה -1.1%; קיימת חלופה טובה יותר באותו מחיר
25,14,6,5.5,142.42,2061354,14473.77,71.2,56.9,65.4,150,במחיר שוק; סטייה -0.8%; קיימת חלופה טובה יותר באותו מחיר
28,7,7,5.5,144.26,2089726,14485.83,73.9,56.1,65.3,151,במחיר שוק; סטייה -0.7%; קיימת חלופה טובה יותר באותו מחיר
45,7,10,5,125.03,1833684,14665.95,67.7,62.3,65.3,152,במחיר שוק; סטייה +0.6%; קיימת חלופה טובה יותר באותו מחיר
3,2,1,5,125.84,1861193,14790.15,78.0,50.4,65.2,153,במחיר שוק; סטייה +1.4%
12,6,4,5,125.93,1866565,14822.24,77.3,44.3,65.2,154,במחיר שוק; סטייה +1.6%
10,12,5,4,113.97,1663988,14600.23,83.2,40.9,65.2,155,במחיר שוק; סטייה +0.1%
53,14,11,3,82.83,1190122,14368.25,62.7,55.6,65.2,156,במחיר שוק; סטייה -1.5%; קיימת חלופה טובה יותר באותו מחיר
16,2,5,5,125.85,1861680,14792.85,77.0,50.1,65.1,157,במחיר שוק; סטייה +1.4%
9,9,4,4,116.7,1706076,14619.33,80.7,39.8,65.1,158,במחיר שוק; סטייה +0.2%
52,14,11,4,113.65,1630875,14349.98,67.6,58.4,65.1,159,במחיר שוק; סטייה -1.6%; קיימת חלופה טובה יותר באותו מחיר
6,1,3,5,128.98,1895219,14693.9,73.5,56.6,65.0,160,במחיר שוק; סטייה +0.8%; קיימת חלופה טובה יותר באותו מחיר
39,14,8,3,83.9,1212185,14447.97,66.3,51.1,65.0,161,במחיר שוק; סטייה -0.9%; קיימת חלופה טובה יותר באותו מחיר
47,14,10,4,113.65,1630875,14349.98,67.0,58.4,64.9,162,במחיר שוק; סטייה -1.6%; קיימת חלופה טובה יותר באותו מחיר
48,14,10,3,82.83,1190122,14368.25,62.1,55.6,64.9,163,במחיר שוק; סטייה -1.5%; קיימת חלופה טובה יותר באותו מחיר
11,1,5,5,129.31,1920688,14853.36,84.8,41.3,64.8,164,במחיר שוק; סטייה +1.8%
5,3,1,3,82.34,1190431,14457.51,70.1,50.6,64.8,165,במחיר שוק; סטייה -0.9%; קיימת חלופה טובה יותר באותו מחיר
34,7,8,5.5,141.28,2062845,14601.11,76.5,48.5,64.7,166,במחיר שוק; סטייה +0.1%
37,7,8,3,83.9,1213471,14463.3,66.3,50.3,64.7,167,במחיר שוק; סטייה -0.8%; קיימת חלופה טובה יותר באותו מחיר
31,7,7,3,82.83,1191858,14389.21,61.9,54.4,64.6,168,במחיר שוק; סטייה -1.3%; קיימת חלופה טובה יותר באותו מחיר
31,14,7,5.5,139.78,2046526,14641.05,76.5,45.8,64.5,169,במחיר שוק; סטייה +0.4%
10,2,3,5,125.85,1858465,14767.3,72.4,52.6,64.4,170,במחיר שוק; סטייה +1.2%; קיימת חלופה טובה יותר באותו מחיר
18,3,6,5,125.93,1871636,14862.51,78.9,40.4,64.4,171,במחיר שוק; סטייה +1.9%
8,1,4,5,128.98,1899486,14726.98,74.6,53.4,64.3,172,במחיר שוק; סטייה +1.0%; קיימת חלופה טובה יותר באותו מחיר
12,3,4,5,125.93,1869719,14847.29,77.1,41.9,64.3,173,במחיר שוק; סטייה +1.8%
11,9,5,4,116.7,1708549,14640.52,83.0,38.5,64.3,174,במחיר שוק; סטייה +0.4%
6,9,3,4,113.97,1664298,14602.95,77.2,40.7,64.2,175,במחיר שוק; סטייה +0.1%
15,3,5,5,125.93,1871512,14861.53,78.0,40.5,64.1,176,במחיר שוק; סטייה +1.9%
16,3,5,5,127.03,1886121,14847.84,76.8,41.8,64.1,177,במחיר שוק; סטייה +1.8%
9,6,3,5,125.93,1865205,14811.44,76.4,45.3,64.0,178,במחיר שוק; סטייה +1.6%; קיימת חלופה טובה יותר באותו מחיר
8,9,4,4,113.97,1667884,14634.41,78.3,38.9,64.0,179,במחיר שוק; סטייה +0.3%
2,12,1,4,113.97,1654898,14520.47,76.2,45.5,64.0,180,במחיר שוק; סטייה -0.4%
58,14,12,3,82.83,1196072,14440.08,63.4,51.6,64.0,181,במחיר שוק; סטייה -1.0%; קיימת חלופה טובה יותר באותו מחיר
6,5,2,5,125.93,1865947,14817.34,77.7,44.8,63.9,182,במחיר שוק; סטייה +1.6%
4,12,2,4,113.97,1658980,14556.29,78.0,43.4,63.9,183,במחיר שוק; סטייה -0.2%
4,1,2,5,128.98,1892807,14675.2,72.5,58.4,63.7,184,במחיר שוק; סטייה +0.6%; קיימת חלופה טובה יותר באותו מחיר
11,12,5,4,116.7,1699212,14560.51,76.5,43.2,63.7,185,במחיר שוק; סטייה -0.2%
10,1,5,5,128.98,1909998,14808.48,77.2,45.6,63.6,186,במחיר שוק; סטייה +1.5%
3,5,1,5,125.93,1865823,14816.35,76.8,44.9,63.6,187,במחיר שוק; סטייה +1.6%
33,7,8,5.5,144.26,2101489,14567.37,74.5,50.7,63.6,188,במחיר שוק; סטייה -0.1%; קיימת חלופה טובה יותר באותו מחיר
12,10,4,5,125.93,1872131,14866.44,77.1,40.1,63.6,189,במחיר שוק; סטייה +1.9%
57,14,12,4,113.65,1640529,14434.92,68.2,53.5,63.6,190,במחיר שוק; סטייה -1.0%; קיימת חלופה טובה יותר באותו מחיר
5,9,2,4,116.7,1701995,14584.36,78.6,41.8,63.5,191,במחיר שוק; סטייה -0.0%
36,7,8,3,82.83,1197860,14461.67,62.5,50.4,63.4,192,במחיר שוק; סטייה -0.8%; קיימת חלופה טובה יותר באותו מחיר
10,9,5,4,113.97,1668997,14644.18,80.8,38.3,63.4,193,במחיר שוק; סטייה +0.4%
15,10,5,5,125.93,1874233,14883.13,78.0,38.5,63.4,194,במחיר שוק; סטייה +2.0%
16,10,5,5,127.03,1888780,14868.77,76.8,39.8,63.4,195,במחיר שוק; סטייה +1.9%
44,14,9,3,83.9,1219822,14539.0,66.9,46.0,63.4,196,במחיר שוק; סטייה -0.3%; קיימת חלופה טובה יותר באותו מחיר
13,2,4,5,125.85,1864587,14815.95,74.2,47.9,63.3,197,במחיר שוק; סטייה +1.6%; קיימת חלופה טובה יותר באותו מחיר
13,4,4,5,127.03,1890141,14879.49,77.6,38.8,63.3,198,במחיר שוק; סטייה +2.0%
4,3,1,5,127.03,1873507,14748.54,72.5,51.4,63.2,199,במחיר שוק; סטייה +1.1%; קיימת חלופה טובה יותר באותו מחיר
2,1,1,5,128.98,1892622,14673.76,70.7,58.5,63.1,200,במחיר שוק; סטייה +0.6%; קיימת חלופה טובה יותר באותו מחיר
4,2,1,5,125.85,1854693,14737.33,70.6,55.4,63.1,201,במחיר שוק; סטייה +1.1%; קיימת חלופה טובה יותר באותו מחיר
9,3,3,5,125.93,1868421,14836.98,76.2,42.9,63.1,202,במחיר שוק; סטייה +1.7%; קיימת חלופה טובה יותר באותו מחיר
42,7,9,3,83.9,1221053,14553.67,66.9,45.2,63.1,203,במחיר שוק; סטייה -0.2%; קיימת חלופה טובה יותר באותו מחיר
10,3,3,5,127.03,1883524,14827.4,75.0,43.8,63.0,204,במחיר שוק; סטייה +1.7%; קיימת חלופה טובה יותר באותו מחיר
55,7,12,5,125.03,1844104,14749.29,69.0,54.3,63.0,205,במחיר שוק; סטייה +1.1%; קיימת חלופה טובה יותר באותו מחיר
3,9,1,4,116.7,1702860,14591.77,77.5,41.4,63.0,206,במחיר שוק; סטייה +0.1%
7,2,2,5,125.85,1856795,14754.03,71.5,53.8,62.9,207,במחיר שוק; סטייה +1.2%; קיימת חלופה טובה יותר באותו מחיר
6,3,2,5,125.93,1861680,14783.45,74.6,48.0,62.7,208,במחיר שוק; סטייה +1.4%; קיימת חלופה טובה יותר באותו מחיר
13,3,4,5,127.03,1885874,14845.89,75.9,42.0,62.7,209,במחיר שוק; סטייה +1.8%; קיימת חלופה טובה יותר באותו מחיר
7,12,3,4,116.7,1697728,14547.8,73.1,43.9,62.7,210,במחיר שוק; סטייה -0.2%; קיימת חלופה טובה יותר באותו מחיר
36,14,8,5.5,139.78,2058437,14726.26,77.1,40.2,62.7,211,במחיר שוק; סטייה +1.0%
13,10,4,5,127.03,1886121,14847.84,75.9,41.8,62.6,212,במחיר שוק; סטייה +1.8%; קיימת חלופה טובה יותר באותו מחיר
63,14,13,3,82.83,1202529,14518.04,64.0,47.2,62.6,213,במחיר שוק; סטייה -0.5%; קיימת חלופה טובה יותר באותו מחיר
13,5,4,5,127.03,1877711,14781.63,69.2,48.2,62.5,214,במחיר שוק; סטייה +1.4%; קיימת חלופה טובה יותר באותו מחיר
10,10,3,5,127.03,1885256,14841.03,75.0,42.5,62.5,215,במחיר שוק; סטייה +1.8%; קיימת חלופה טובה יותר באותו מחיר
16,11,5,5,127.03,1893789,14908.2,77.9,36.1,62.5,216,במחיר שוק; סטייה +2.2%
13,11,4,5,127.03,1892985,14901.87,77.0,36.7,62.4,217,במחיר שוק; סטייה +2.2%
4,9,2,4,113.97,1664236,14602.4,76.2,40.8,62.3,218,במחיר שוק; סטייה +0.1%
9,10,3,5,125.93,1871265,14859.56,76.2,40.7,62.3,219,במחיר שוק; סטייה +1.9%; קיימת חלופה טובה יותר באותו מחיר
